temandifa_backend	Up 8 minutes (healthy)
temandifa_db	Up 13 hours (healthy)
temandifa_redis	Up 13 hours (healthy)
temandifa_ocr	Up 13 hours (healthy)
temandifa_vision	Up 3 hours (healthy)
temandifa_prometheus	Up 13 hours
temandifa_speech	Up 3 hours (healthy)
temandifa_grafana	Up 13 hours
temandifa_alertmanager	Up 13 hours
