temandifa_backend	Up 12 minutes (healthy)
temandifa_db	Up 47 hours (healthy)
temandifa_redis	Up 47 hours (healthy)
temandifa_ocr	Up 4 minutes (healthy)
temandifa_vision	Up 9 hours (healthy)
temandifa_prometheus	Up 47 hours
temandifa_speech	Up 3 hours (healthy)
temandifa_grafana	Up 47 hours
temandifa_alertmanager	Up 47 hours
