id,experiment_run_id,scenario,condition,run_number,event_type,target_service,event_time,notes
101,71,A3,treatment,1,fault_injected,"vision,speech",2026-06-27 13:00:18.272907+00:00,
102,71,A3,treatment,1,fault_finished,"vision,speech",2026-06-27 13:03:22.068454+00:00,
