id,experiment_run_id,scenario,condition,run_number,event_type,target_service,event_time,notes
61,51,A2,treatment,1,fault_injected,speech,2026-06-27 07:05:56.070280+00:00,
62,51,A2,treatment,1,fault_finished,speech,2026-06-27 07:08:57.186164+00:00,
